id|sentence
CNXP-opiniao-20250712-a1983d80|O presidente Luiz Inácio Lula da Silva (PT) minimizou nesta sexta-feira (11) a responsabilidade do governo sobre a alta no preço do gás de cozinha nos últimos meses.
CNXP-opiniao-20250712-a1983d80|Em nova fala sobre o assunto, ele criticou a diferença entre o valor praticado pela Petrobras e o preço final cobrado das famílias brasileiras pelas distribuidoras.
CNXP-opiniao-20250712-a1983d80|Durante cerimônia no Espírito Santo, Lula afirmou que ainda não recebeu uma justificativa convincente sobre o encarecimento do produto ao longo da cadeia de distribuição.
CNXP-opiniao-20250712-a1983d80|“Eu não me conformo que o gás de cozinha sai da Petrobras a R$ 37 e chega a R$ 140 nas casas dos consumidores.
CNXP-opiniao-20250712-a1983d80|Alguém tem que me explicar”, disse o presidente em evento em Linhares (ES), durante o lançamento dos pagamentos do Programa de Transferência de Renda (PTR) destinado a pescadores e agricultores familiares afetados pelo rompimento da barragem de Fundão, em Mariana (MG).
CNXP-opiniao-20250712-a1983d80|De acordo com dados da Petrobras, o preço médio do gás liquefeito de petróleo (GLP) nas refinarias está atualmente em R$ 34,70, representando cerca de 33,4% do valor final.
CNXP-opiniao-20250712-a1983d80|Já o preço médio do botijão ao consumidor gira em torno de R$ 108,31.
CNXP-opiniao-20250712-a1983d80|A diferença, segundo especialistas, decorre de custos logísticos, margens de lucro das distribuidoras e revendedores, além de tributos estaduais e federais.
CNXP-opiniao-20250712-a1983d80|Sem detalhar a fonte dos recursos, Lula voltou a fazer promessas em meio ao calendário eleitoral.
CNXP-opiniao-20250712-a1983d80|Reiterou que pretende ampliar o acesso gratuito ao gás de cozinha para mais de 17 milhões de pessoas em situação de vulnerabilidade.
CNXP-opiniao-20250712-a1983d80|“Nós vamos garantir o gás de graça para esse povo ter como cozinhar”, afirmou.
CNXP-opiniao-20250712-a1983d80|O governo federal já mantém o programa Auxílio Gás dos Brasileiros, que cobre 100% do valor médio do botijão para famílias inscritas no Cadastro Único (CadÚnico) e com renda familiar per capita de até meio salário mínimo.
CNXP-opiniao-20250712-a1983d80|O presidente, no entanto, sinalizou que pretende ampliar a abrangência da política.
CNXP-opiniao-20250607-61b5a608|Hoje eu vou te ensinar como ser o novo Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608|O segredo está aí, escancarado, mas você não viu porque estava ocupado demais se comparando com o engajamento alheio ou reclamando do algoritmo.
CNXP-opiniao-20250607-61b5a608|E, pra começar, eu preciso te contar sobre um dos momentos mais fascinantes do comportamento humano moderno: o instante exato em que um avião aterrissa.
CNXP-opiniao-20250607-61b5a608|Ele pousa, freia, para.
CNXP-opiniao-20250607-61b5a608|E, imediatamente, um bando de gente levanta.
CNXP-opiniao-20250607-61b5a608|Mesmo sabendo que a porta não vai abrir antes dos próximos dez minutos.
CNXP-opiniao-20250607-61b5a608|É um fenômeno.
CNXP-opiniao-20250607-61b5a608|Um ritual coletivo de desconforto voluntário.
CNXP-opiniao-20250607-61b5a608|Ninguém sabe por que levanta, mas todos levantam.
CNXP-opiniao-20250607-61b5a608|E ficam ali.
CNXP-opiniao-20250607-61b5a608|Em pé, suando, esmagados no corredor.
CNXP-opiniao-20250607-61b5a608|Esperando algo que já sabem que vai demorar.
CNXP-opiniao-20250607-61b5a608|Mas o que importa não é a lógica — é o reflexo.
CNXP-opiniao-20250607-61b5a608|O movimento do outro.
CNXP-opiniao-20250607-61b5a608|A reação em massa.
CNXP-opiniao-20250607-61b5a608|A verdade é que o ser humano não aguenta estar parado quando todo mundo parece estar se movendo.
CNXP-opiniao-20250607-61b5a608|A ansiedade de parecer inerte consome qualquer razão.
CNXP-opiniao-20250607-61b5a608|E isso, meu amigo, é o coração do comportamento de massa.
CNXP-opiniao-20250607-61b5a608|É o fundamento do marketing moderno.
CNXP-opiniao-20250607-61b5a608|É o algoritmo da vida.
CNXP-opiniao-20250607-61b5a608|É a chave da viralização.
CNXP-opiniao-20250607-61b5a608|Quer ver outro exemplo?
CNXP-opiniao-20250607-61b5a608|Você está numa fila que não anda.
CNXP-opiniao-20250607-61b5a608|Já pensou em desistir.
CNXP-opiniao-20250607-61b5a608|Mas aí, alguém chega atrás de você.
CNXP-opiniao-20250607-61b5a608|E, de repente, você fica.
CNXP-opiniao-20250607-61b5a608|A simples presença de outro ser humano validando aquela espera te convence a continuar.
CNXP-opiniao-20250607-61b5a608|Não porque a fila anda.
CNXP-opiniao-20250607-61b5a608|Mas porque agora você não está mais sozinho nela.
CNXP-opiniao-20250607-61b5a608|Esse é o poder da repetição.
CNXP-opiniao-20250607-61b5a608|Do efeito manada.
CNXP-opiniao-20250607-61b5a608|E é aqui que entra o Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608|Ele é, sem dúvida, um dos maiores fenômenos políticos digitais do Brasil.
CNXP-opiniao-20250607-61b5a608|Seus vídeos ultrapassam milhões de visualizações.
CNXP-opiniao-20250607-61b5a608|Ele arrasta multidões.
CNXP-opiniao-20250607-61b5a608|Ele não apenas aparece — ele move.
CNXP-opiniao-20250607-61b5a608|Move afetos, raivas, paixões.
CNXP-opiniao-20250607-61b5a608|E tudo isso sem recorrer a uma única fórmula secreta de tráfego pago ou curso online.
CNXP-opiniao-20250607-61b5a608|Ele simplesmente entendeu o que a maioria ignora: que as pessoas seguem movimentos, não discursos.
CNXP-opiniao-20250607-61b5a608|Nikolas criou o ambiente.
CNXP-opiniao-20250607-61b5a608|Gerou a movimentação.
CNXP-opiniao-20250607-61b5a608|Virou a pessoa “na frente da fila”.
CNXP-opiniao-20250607-61b5a608|E agora, milhões seguem, mesmo sem saber por quê.
CNXP-opiniao-20250607-61b5a608|Só que tem um detalhe importante aqui: você não é o Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608|E tudo bem.
